//map_name	range	scope	range_IN	rotationFrom	rotationTo	rotation_IN	altitudeFrom	altitudeTo	altitude_IN
//ex_fild00.rsw#	200#	600#	450#	-360#	360#	 0#	-15#	-65#	-60#
// -- ! double right-click won't return to default view ! --
//maplist.js from ratemyserver.net 
hu_fild07.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
hu_in01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
hugel.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
hunter_1-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
hunter_2-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
hunter_3-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ice_dun01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ice_dun02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ice_dun03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ice_dun04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
in_hunter.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
in_moc_16.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
in_orcs01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
in_rogue.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
in_sphinx1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
in_sphinx2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
in_sphinx3.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
in_sphinx4.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
in_sphinx5.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
itemmall.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
itemmall_p.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
itemmall_s.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
iz_ac01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
iz_ac01_a.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
iz_ac01_b.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
iz_ac01_c.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
iz_ac01_d.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
iz_ac02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
iz_ac02_a.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
iz_ac02_b.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
iz_ac02_c.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
iz_ac02_d.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
iz_dun00.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
iz_dun01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
iz_dun02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
iz_dun03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
iz_dun04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
iz_dun05.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
iz_int.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
iz_int01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
iz_int02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
iz_int03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
iz_int04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
iz_ng01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
izlu2dun.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
izlude.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
izlude_a.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
izlude_b.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
izlude_c.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
izlude_d.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
izlude_in.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
jawaii.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
jawaii_in.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
job3_arch01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
job3_arch02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
job3_arch03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
job3_gen01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
job3_guil01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
job3_guil02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
job3_guil03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
job3_rang01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
job3_rang02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
job3_rune01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
job3_rune02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
job3_rune03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
job3_sha01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
job3_war01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
job3_war02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
job_cru.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
job_duncer.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
job_hunte.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
job_knt.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
job_ko.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
job_monk.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
job_prist.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
job_sage.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
job_soul.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
job_star.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
job_sword1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
job_thief1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
job_wiz.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
jupe_area1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
jupe_area2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
jupe_cave.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
jupe_core.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
jupe_core2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
jupe_ele.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
jupe_ele_r.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
jupe_gate.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
juperos_01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
juperos_02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
kh_dun01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
kh_dun02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
kh_kiehl01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
kh_kiehl02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
kh_mansion.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
kh_rossi.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
kh_school.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
kh_vila.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
knight_1-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
knight_2-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
knight_3-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
lhz_airport.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
lhz_cube.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
lhz_dun01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
lhz_dun02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
lhz_dun03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
lhz_dun04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
lhz_fild01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
lhz_fild02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
lhz_fild03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
lhz_in01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
lhz_in02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
lhz_in03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
lhz_que01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
lighthalzen.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
lou_dun01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
lou_dun02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
lou_dun03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
lou_fild01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
lou_in01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
lou_in02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
louyang.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ma_dun01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ma_fild01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ma_fild02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ma_in01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ma_scene01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ma_zif01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ma_zif02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ma_zif03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ma_zif04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ma_zif05.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ma_zif06.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ma_zif07.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ma_zif08.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ma_zif09.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
mag_dun01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
mag_dun02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
mal_dun01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
mal_in01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
mal_in02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
malangdo.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
malaya.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
man_fild01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
man_fild02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
man_fild03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
man_in01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
manuk.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
mid_camp.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
mid_campin.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
mjo_dun01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
mjo_dun02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
mjo_dun03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
mjolnir_01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
mjolnir_02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
mjolnir_03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
mjolnir_04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
mjolnir_05.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
mjolnir_06.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
mjolnir_07.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
mjolnir_08.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
mjolnir_09.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
mjolnir_10.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
mjolnir_11.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
mjolnir_12.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
moc_castle.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
moc_fild01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
moc_fild02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
moc_fild03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
moc_fild04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
moc_fild05.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
moc_fild06.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
moc_fild07.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
moc_fild08.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
moc_fild09.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
moc_fild10.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
moc_fild11.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
moc_fild12.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
moc_fild13.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
moc_fild14.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
moc_fild15.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
moc_fild16.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
moc_fild17.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
moc_fild18.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
moc_fild19.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
moc_fild20.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
moc_fild21.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
moc_fild22.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
moc_fild22b.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
moc_para01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
moc_pryd01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
moc_pryd02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
moc_pryd03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
moc_pryd04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
moc_pryd05.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
moc_pryd06.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
moc_prydb1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
moc_prydn1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
moc_prydn2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
moc_ruins.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
monk_in.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
monk_test.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
mora.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
moro_cav.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
moro_vol.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
morocc.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
morocc_in.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
moscovia.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
mosk_dun01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
mosk_dun02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
mosk_dun03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
mosk_fild01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
mosk_fild02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
mosk_in.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
mosk_que.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
mosk_ship.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
n_castle.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
nakhyang.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
nameless_i.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
nameless_in.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
nameless_n.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
new_1-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
new_1-2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
new_1-3.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
new_1-4.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
new_2-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
new_2-2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
new_2-3.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
new_2-4.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
new_3-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
new_3-2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
new_3-3.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
new_3-4.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
new_4-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
new_4-2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
new_4-3.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
new_4-4.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
new_5-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
new_5-2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
new_5-3.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
new_5-4.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
new_zone01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
new_zone02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
new_zone03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
new_zone04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
nguild_alde.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
nguild_gef.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
nguild_pay.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
nguild_prt.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
nif_fild01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
nif_fild02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
nif_in.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
niflheim.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
nyd_dun01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
nyd_dun02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
odin_tem01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
odin_tem02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
odin_tem03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
orcsdun01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
orcsdun02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ordeal_1-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ordeal_1-2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ordeal_1-3.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ordeal_1-4.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ordeal_2-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ordeal_2-2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ordeal_2-3.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ordeal_2-4.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ordeal_3-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ordeal_3-2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ordeal_3-3.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ordeal_3-4.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
p_track01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
p_track02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pay_arche.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pay_dun00.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pay_dun01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pay_dun02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pay_dun03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pay_dun04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pay_fild01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pay_fild02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pay_fild03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pay_fild04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pay_fild05.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pay_fild06.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pay_fild07.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pay_fild08.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pay_fild09.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pay_fild10.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pay_fild11.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pay_gld.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
payg_cas01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
payg_cas02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
payg_cas03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
payg_cas04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
payg_cas05.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
payon.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
payon_in01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
payon_in02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
payon_in03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
poring_c01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
poring_c02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
poring_w01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
poring_w02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
priest_1-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
priest_2-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
priest_3-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
prontera.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
prt_are01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
prt_are_in.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
prt_arena01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
prt_castle.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
prt_church.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
prt_fild00.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
prt_fild01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
prt_fild02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
prt_fild03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
prt_fild04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
prt_fild05.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
prt_fild06.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
prt_fild07.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
